Alpha-3 code,CountryName_CN,Numeric,Year,SDI_TwoStage,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage_avail,SDI_Economy_TwoStage_avail,SDI_Society_TwoStage_avail,SDI_Resource_TwoStage_avail,SDI_Ecology_TwoStage_avail,coverage_rate,diff,abs_diff
SLE,塞拉利昂,694,2010,0.4168309654035995,0.2490478828472096,0.3511802540504039,0.5195182906286124,0.5475774340881718,0.4168309654035995,0.2490478828472096,0.35118025405040404,0.5195182906286123,0.5475774340881718,1.0,0.0,0.0
ZAF,南非,710,2010,0.4465983558052731,0.4151299719472059,0.6030070864694522,0.4317104829573662,0.3365458818470678,0.4465983558052731,0.4151299719472059,0.6030070864694523,0.43171048295736614,0.3365458818470678,1.0,0.0,0.0
ZWE,津巴布韦,716,2010,0.4243858914574635,0.3046729584651941,0.3631727573028125,0.4315544051900668,0.5981434448717806,0.4243858914574635,0.30467295846519404,0.3631727573028126,0.43155440519006677,0.5981434448717806,1.0,0.0,0.0
SWZ,斯威士兰,748,2010,0.438959233168003,0.3697296468452312,0.3564828373490749,0.641161903931433,0.3884625445462732,0.43895923316800306,0.36972964684523124,0.35648283734907493,0.6411619039314328,0.38846254454627327,1.0,5.551115123125783e-17,5.551115123125783e-17
TGO,多哥,768,2010,0.4202901077019365,0.2716964610095243,0.3802871871705454,0.4563703071991615,0.5728064754285145,0.4202901077019364,0.27169646100952427,0.38028718717054555,0.45637030719916144,0.5728064754285145,1.0,-5.551115123125783e-17,5.551115123125783e-17
UGA,乌干达,800,2010,0.4038241808396262,0.255047171286085,0.3817842708934965,0.4787818448162721,0.4996834363626513,0.40382418083962623,0.2550471712860849,0.38178427089349665,0.47878184481627206,0.4996834363626514,1.0,5.551115123125783e-17,5.551115123125783e-17
TZA,坦桑尼亚,834,2010,0.4445016166142165,0.2584180415654523,0.4000133080983206,0.4947358750105943,0.624839241782499,0.4445016166142165,0.2584180415654523,0.4000133080983206,0.49473587501059424,0.624839241782499,1.0,0.0,0.0
BFA,布基纳法索,854,2010,0.444257714489994,0.2703519082805633,0.3842808080370707,0.5076135231543979,0.6147846184879441,0.44425771448999407,0.2703519082805632,0.3842808080370709,0.5076135231543979,0.6147846184879442,1.0,5.551115123125783e-17,5.551115123125783e-17
ZMB,赞比亚,894,2010,0.4521858319500526,0.371990354207449,0.2915153801748182,0.4689424011717589,0.6762951922461844,0.45218583195005263,0.3719903542074489,0.2915153801748183,0.46894240117175884,0.6762951922461844,1.0,5.551115123125783e-17,5.551115123125783e-17
AGO,安哥拉,24,2011,0.4678907294182323,0.4142737161222712,0.4591008072594953,0.5134976213287826,0.48469077296238,0.4678907294182322,0.4142737161222711,0.45910080725949537,0.5134976213287824,0.48469077296237995,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
BWA,博茨瓦纳,72,2011,0.4933650766313774,0.403989126407868,0.4309431936467649,0.5159171057561526,0.6226108807147241,0.4933650766313774,0.40398912640786794,0.43094319364676487,0.5159171057561525,0.6226108807147244,1.0,0.0,0.0
BDI,布隆迪,108,2011,0.3407711080368161,0.2304955118751052,0.3344195105055296,0.4451093113810331,0.3530600983855961,0.35064657311036274,0.2304955118751052,0.3739213707997165,0.44510931138103316,0.35306009838559615,0.9705882352941176,0.009875465073546641,0.009875465073546641
CMR,喀麦隆,120,2011,0.4152992823101415,0.2809502848598892,0.4302324420342596,0.5259347244926079,0.4240796778538093,0.41529928231014146,0.28095028485988915,0.43023244203425964,0.5259347244926078,0.4240796778538093,1.0,-5.551115123125783e-17,5.551115123125783e-17
CPV,佛得角,132,2011,0.4312701094405289,0.2816419558349484,0.5765793334749235,0.5250441743870431,0.3418149740652008,0.43127010944052896,0.2816419558349483,0.5765793334749237,0.5250441743870431,0.3418149740652008,1.0,5.551115123125783e-17,5.551115123125783e-17
CAF,中非,140,2011,0.3831382122982958,0.1471508413997562,0.3231817095412022,0.5469970332797869,0.5152232649724381,0.3904774458126731,0.17650777545726515,0.3231817095412022,0.5469970332797869,0.5152232649724381,0.9705882352941176,0.007339233514377264,0.007339233514377264
TCD,乍得,148,2011,0.3802397596454352,0.2008507305647635,0.3336485250822256,0.5058444823632743,0.4806153005714772,0.39025730626036403,0.24092091702447904,0.33364852508222564,0.5058444823632742,0.4806153005714772,0.9705882352941176,0.010017546614928818,0.010017546614928818
COM,科摩罗,174,2011,0.4600736309639495,0.2815212536531687,0.4259153369314485,0.5410302957735451,0.5918276374976357,0.4600736309639496,0.28152125365316866,0.4259153369314487,0.541030295773545,0.5918276374976358,1.0,1.1102230246251565e-16,1.1102230246251565e-16
COG,刚果（布）,178,2011,0.4822161702684606,0.4274242327636015,0.3718903796549775,0.5484313458877724,0.5811187227674912,0.48221617026846064,0.4274242327636015,0.3718903796549777,0.5484313458877723,0.5811187227674913,1.0,5.551115123125783e-17,5.551115123125783e-17
COD,刚果（金）,180,2011,0.3722442084106372,0.2738681237225392,0.318027142674318,0.4218762591135298,0.4752053081321619,0.3722442084106372,0.27386812372253916,0.3180271426743181,0.4218762591135297,0.47520530813216194,1.0,0.0,0.0
BEN,贝宁,204,2011,0.4535438627393837,0.2620972302443842,0.4276637249015629,0.5223614791755533,0.6020530166360344,0.45354386273938374,0.26209723024438414,0.42766372490156307,0.5223614791755533,0.6020530166360345,1.0,5.551115123125783e-17,5.551115123125783e-17
