Alpha-3 code,CountryName_CN,Numeric,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,rank_global_critic,rank_two_stage,rank_change_two_stage_minus_global,abs_rank_change,sdi_difference
SYC,塞舌尔,690,2020,0.6612611232853398,0.44327022427002455,0.7970349603537729,0.609057260751148,0.6356462248875899,0.4515312814539412,0.7865521727594769,0.6008082506514867,0.6300297383460508,0.6172303608027389,1.0,1.0,0.0,0.0,-0.04403076248260096
SYC,塞舌尔,690,2021,0.6623019087709361,0.4726593713752563,0.7570766996925259,0.6529429848574365,0.6381960237259678,0.48247069754550004,0.7483594626574283,0.64761313195843,0.6332757891080251,0.6279297703173459,1.0,1.0,0.0,0.0,-0.03437213845359022
SLE,塞拉利昂,694,2001,0.3843679623444648,0.20940197795676346,0.2278908877981246,0.4991388350575377,0.5083858941327672,0.2122148120096757,0.24303959845058912,0.49876498125356084,0.5209598168309678,0.36874480213619837,29.0,37.0,8.0,8.0,-0.015623160208266429
SLE,塞拉利昂,694,2002,0.4008963961023546,0.2697719993438928,0.24031795962327557,0.5091186900816642,0.5161333468418449,0.2756898175753534,0.2563729808954886,0.5083841756504955,0.5284858136192806,0.39223319693515457,26.0,26.0,0.0,0.0,-0.008663199167200042
SLE,塞拉利昂,694,2003,0.4041227188985753,0.2575633439724329,0.25913497415383496,0.5010796520177829,0.5188004408656338,0.26240983144701435,0.2758145949997023,0.5003330614763954,0.5313119342808834,0.3924673555509989,26.0,28.0,2.0,2.0,-0.011655363347576442
SLE,塞拉利昂,694,2004,0.4095054324660385,0.25867765899539225,0.2772985786194945,0.5074191295829532,0.5148304089859208,0.2632727452216298,0.29419462694345533,0.5065528632669312,0.5270102769372427,0.39775762809231474,25.0,28.0,3.0,3.0,-0.011747804373723747
SLE,塞拉利昂,694,2005,0.41361249668500155,0.25734014184585946,0.28714069458238967,0.5123930637277263,0.515766394605686,0.26181666067410453,0.3041060417689035,0.5114330611029227,0.5280862407180882,0.40136050106600474,24.0,26.0,2.0,2.0,-0.012251995618996814
SLE,塞拉利昂,694,2006,0.419858274261405,0.2602008894406432,0.30250236324653773,0.5151326492188493,0.5178728814875098,0.264449955264339,0.31961855816857543,0.5141490813584779,0.5304473374943189,0.40716623307142785,23.0,26.0,3.0,3.0,-0.012692041189977132
SLE,塞拉利昂,694,2007,0.41810043439625416,0.25834376451026864,0.30334244503147895,0.5142720023049592,0.5135318559880914,0.2628491859900657,0.3209118210799618,0.5132238741441655,0.5257518393554318,0.40568418014240615,27.0,29.0,2.0,2.0,-0.012416254253848014
SLE,塞拉利昂,694,2008,0.41955949799579073,0.2536148397656623,0.30929787075482973,0.5173019564338281,0.5126869532762646,0.25831080449816907,0.32694200956735164,0.5161790378268296,0.5248456057447568,0.40656936440927677,28.0,29.0,1.0,1.0,-0.012990133586513963
SLE,塞拉利昂,694,2009,0.42201399927031374,0.24730664759154278,0.3202850591829824,0.5169924114522148,0.5129938399596435,0.2520213833029137,0.3379855609792737,0.5158561587754934,0.5252158300350608,0.40776973327318544,28.0,31.0,3.0,3.0,-0.014244265997128303
SLE,塞拉利昂,694,2010,0.43478835868036636,0.2441361311471764,0.3344366767400677,0.5207179854280443,0.5356262938824422,0.2490478828472096,0.35118025405040404,0.5195182906286123,0.5475774340881718,0.4168309654035995,26.0,29.0,3.0,3.0,-0.017957393276766875
SLE,塞拉利昂,694,2011,0.4286499428235378,0.19794743082347388,0.3385698491581001,0.519721549542529,0.5327100658176576,0.20438550063135308,0.3553238611777093,0.5184965453113064,0.5444344432908287,0.40566008760279937,30.0,33.0,3.0,3.0,-0.02298985522073843
SLE,塞拉利昂,694,2012,0.449269018008812,0.25638146426926856,0.34208919336989135,0.52654344505211,0.5614202844858605,0.26076240531814654,0.35855716018727546,0.5251372979237845,0.5722558503686029,0.4291781784494524,24.0,25.0,1.0,1.0,-0.02009083955935964
SLE,塞拉利昂,694,2013,0.46094723061724635,0.2938317111831481,0.35896369301016545,0.534262882469232,0.5618406140206195,0.29714446268317724,0.37315038947911405,0.532635844024971,0.5727404894971129,0.4439177964210938,23.0,21.0,-2.0,2.0,-0.01702943419615255
SLE,塞拉利昂,694,2014,0.4635777862799603,0.2654317106693265,0.38245054565669373,0.5317728476911066,0.5617601174920088,0.2679915416116952,0.3952759486413163,0.5301726799337827,0.572683368031861,0.4415308845546638,24.0,25.0,1.0,1.0,-0.022046901725296497
SLE,塞拉利昂,694,2015,0.4568681488664447,0.2324486222909288,0.3896255180444057,0.5195782358956353,0.5564715858363216,0.23717646430243206,0.4016712082608521,0.5183080492862838,0.5669958491373192,0.4310378927467218,26.0,28.0,2.0,2.0,-0.02583025611972295
SLE,塞拉利昂,694,2016,0.4628549925973801,0.2653013917796866,0.39930025762723376,0.5115310916286635,0.5578185734142054,0.26987444820031403,0.41018521717235285,0.5103352368837247,0.5684984607867469,0.4397233407607847,25.0,25.0,0.0,0.0,-0.023131651836595435
SLE,塞拉利昂,694,2017,0.46240346775057206,0.24681615219762723,0.40175528309383124,0.5161917895898974,0.5586011542374917,0.25168760092861026,0.4122102218677536,0.5149519918272911,0.5694023762305412,0.4370630477135491,26.0,28.0,2.0,2.0,-0.02534042003702297
SLE,塞拉利昂,694,2018,0.4634582717890906,0.24772444358574192,0.39915982288579144,0.5259989616828615,0.557632085518657,0.25259103499314595,0.40985389575311004,0.5245894306786026,0.5683894324215992,0.43885594846161446,26.0,29.0,3.0,3.0,-0.02460232332747614
