GDP per capita growth (annual %)_x,Merchandise exports (% of GDP),Final consumption expenditure (% of GDP),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x","Industry (including construction), value added per worker (constant 2015 US$)_x","Services, value added per worker (constant 2015 US$)_x","Current account balance, percent of GDP (Percent of GDP)(IMF)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",gini,Proportion of seats held by women in national parliaments (%)_x,Prevalence of undernourishment (percent) (3-year average),"Life expectancy at birth, total (years)_pct_change",Labor force(% of total population),Population growth (annual %),Mean years schooling,Scientific and technical journal articles,"Prevalence of HIV, total (% of population ages 15-49)_x",Domestic general government health expenditure (% of GDP),"Mortality caused by road traffic injury (per 100,000 population)_x",People using at least basic drinking water services (% of population)_x,Individuals using the Internet (% of population)_x,Mobile cellular subscriptions (per 100 people),Access to electricity (% of population)_x,Agricultural land (% of land area),Arable land (% of land area),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Renewable internal freshwater resources per capita (cubic meters)_x,Energy intensity level of primary energy (MJ/$2017 PPP GDP)_x,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)_x",Adjusted savings: energy depletion (% of GNI),Energy consumption per capita (million Btu per person),"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)_per_capita",Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,Forest area (% of land area)_x,Wetland area（% of land area),"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land|Climate neutral(% of land area)",CO2 emissions (metric tons per capita)_x,PM2.5 exposure/Ambient particulate matter pollution,Lead exposure,Terrestrial biome protection (global weights),Species Protection Index,Alpha-3 code,CountryName_CN
1.199231316,0.4613809377150462,69.02405824,9.372730256,2017.227412,56639.51131,13046.98868,1.393458723,51.717,,11.11111111,26.0,0.016321494668194214,0.40476981697154313,2.008214758,9.775,165.71,23.4,3.66806316,23.9,80.20835657,6.25,76.1956,44.5,45.66724895,0.49229792,2.00713703,0.475055258,1230.788166,3.24,61.16886783,0.537952565,33.56689891194383,0.0,0.0,29.42194696,1.3663825807703844,1.639828489757027,2.0206215054590584,14.3982127408744,733.7151882678,26.220772520495,93.72,BWA,博茨瓦纳
-15.89971491,0.3415539774726505,80.11869739,15.10893375,2148.365682,35491.03912,12904.24831,-6.405939615,52.547,,7.936507937,24.8,0.01102998560552182,0.4121771883177197,2.065878468,9.755,167.66,23.2,3.41018438,24.0,81.54820489,6.15,94.1441,43.4,45.73253578,0.557584741,0.940099755,0.464291691,1205.62242,3.44,52.43929744,0.148944343,30.90149043597786,0.0,0.0,29.21320558,1.3641592998429588,1.620313023838512,2.1001362534178143,13.8630939095201,739.79375794504,26.220772520495,93.72,BWA,博茨瓦纳
7.821146994,0.37136175191323384,73.54932591,7.685492244,2465.158127,42580.83762,14136.3883,-5.888402257,49.171,49.5,7.936507937,23.3,0.014408974732833757,0.39463905315548437,2.109435975,9.736,163.97,23.0,3.60705996,24.2,82.83969384,6.0,116.246,52.0,45.63195878,0.457007746,0.8950785,0.351848658,1180.456945,3.4,57.66069662,0.299472888,31.247128964230455,0.0,0.0,29.00446421,1.3594833518606746,1.6152135937748133,2.0751766263622597,16.7567122321382,746.976295094,26.220772520495,93.72,BWA,博茨瓦纳
4.755573289,0.38926204277155046,68.8525647,12.6534473,2467.453935,44527.98052,14550.29202,-0.872984775,49.638,,7.936507937,22.0,0.009773914807988282,0.39961370316874323,1.968774796,9.716,167.78,22.8,3.60456705,23.8,84.08224116,9.0,139.87,53.2,45.74665184,0.57170081,0.715410973,0.322823363,1157.443689,3.04,61.51289402,0.247783119,32.136567686336576,4.822682038161883e-07,0.0,28.79572283,1.3398443703350802,1.6168722319270201,2.115102694191321,13.1373136702484,742.23028569567,26.220772520495,93.72,BWA,博茨瓦纳
-1.831759004,0.42933778475580503,77.8317412,3.011796554,2213.694329,41737.08144,14631.62387,-5.901992671,50.21,,7.936507937,21.3,0.011203215272544531,0.4027051854367104,1.677740212,9.697,159.99,22.7,4.09601831,21.2,85.11981766,16.0,146.149,56.0,45.67783601,0.502884972,0.821469996,0.389372464,1138.186783,3.47,62.29226928,0.333840683,31.22951731713719,4.742444929543867e-06,0.0,28.58698146,1.3341979425828878,1.6162017186314472,1.9852924148861553,14.4400173639268,710.16743405744,26.220772520495,93.72,BWA,博茨瓦纳
9.43871074,0.5543122696637686,77.63177337,1.53204506,2315.063762,46782.2299,15483.00431,4.530731484,50.399,,7.936507937,20.8,0.013795045045045029,0.40429265065992986,1.50921875,9.677,167.45,22.4,4.15482092,20.9,86.10353287,30.0,151.671,58.0,45.66901346,0.494062428,0.33794118,0.402103615,1121.13803,3.29,70.38522973,0.27211869,30.533949698630643,9.342816915356881e-06,0.0,28.37824008,1.3338979761085528,1.6152488839482646,2.02132111215024,14.1519058966031,692.02046062713,26.220772520495,93.72,BWA,博茨瓦纳
4.170990129,0.5500938148770065,71.56378578,9.601547879,2298.418535,48508.99483,15988.77521,11.07503064,50.472,,9.523809524,20.1,0.015518565104464477,0.406101349696415,1.454418984,9.658,204.79,22.1,3.99039125,24.2,87.06200779,36.7447,157.018,60.0,45.88428352,0.709332486,0.140391746,0.401436462,1104.949992,3.39,75.68194908,0.21280841,30.221929235322353,9.207916598374619e-06,0.0,28.1694987,1.331357083620066,1.5985742769925715,2.1501786694928833,10.5478878104889,667.95333674411,26.220772520495,93.72,BWA,博茨瓦纳
-6.199954122,0.4667886509721111,77.63715617,3.730305856,2185.366427,42896.09751,15693.08293,2.226182876,50.428,,9.523809524,20.3,0.016857818456737617,0.4082821329903285,1.427532237,9.638,163.66,21.8,4.13518047,24.8,87.99527136,37.3121,157.735,62.1,45.63301749,0.458066451,0.036364954,0.465455656,1089.288527,3.55,72.01037171,0.211765557,36.30532988752694,9.077404388834247e-06,0.0,27.96075733,1.331357083620066,1.598556631905846,2.7251923710770294,13.9639581775112,641.65319496738,26.220772520495,93.72,BWA,博茨瓦纳
5.693194554,0.4883761314509387,69.17428265,11.90491113,2568.72591,43323.7258,16921.41729,7.97299722,50.389,53.33,9.523809524,20.9,0.01748002847425445,0.4110846008727497,1.419701726,9.619,236.02,21.4,3.83726597,24.8,88.90366848,42.2576,147.173,64.2,45.63301749,0.458066451,0.049979744,0.463315684,1073.933137,3.17,72.05942108,0.204050341,39.40346318931849,1.342416421153619e-05,0.0,27.75201595,1.3302277980696275,1.595327581035061,3.0373091039101907,12.5190029177375,593.40919412027,26.220772520495,93.72,BWA,博茨瓦纳
2.64591261,0.3644795525184963,70.92010071,-2.649933209,2357.234684,44474.19292,17159.91519,5.585809138,50.419,,9.523809524,22.1,0.017101990049751326,0.41464353983924984,1.420476473,9.599,240.19,20.9,5.01613283,25.0,89.78707886,47.8587,142.962,67.4,45.63301749,0.458066451,0.048434147,0.441370492,1058.786005,3.18,78.25064858,0.301815015,35.60369798280792,1.3234825059876555e-05,0.0,27.54327458,1.3301748628094507,1.5923279162917086,2.763667334290064,12.1347854202342,554.5547324629,26.220772520495,93.72,BWA,博茨瓦纳
2.720714331,0.38603933375051125,72.56570147,0.056621886,2538.234674,45670.64078,17209.85756,0.392946349,50.697,,9.523809524,22.1,0.014536838887190262,0.4188420805857492,1.418981085,9.58,285.21,20.3,4.14253378,25.7,90.64382017,54.2022,147.065,68.3,45.63301749,0.458066451,0.053047701,0.325854622,1043.868123,3.25,77.13219222,0.381733367,34.796698208422534,1.739780204867818e-05,0.0,27.3345332,1.330245443156353,1.5863462318917296,2.691840720947519,13.5691662721176,531.02894200232,26.220772520495,93.72,BWA,博茨瓦纳
