Indicator,SYC,NAM,GAB,BWA,MUS,ZAF,SEN,GHA,CPV,GIN,GNB,COM,STP,CIV,COG,SWZ,GNQ,DJI,GMB,TZA,KEN,BEN,ZMB,AGO,BFA,CMR,ZWE,SLE,TGO,MOZ,RWA,MWI,LSO,ETH,NGA,MLI,MDG,NER,UGA,CAF,TCD,ERI,LBR,BDI,COD
Population growth,-0.07940364539678157,-0.09554588233099409,0.03603819380619139,0.0626566999246817,0.08461075636031601,-0.0753495842472931,-0.01255924633156491,0.0778935591874576,0.12669091049453207,-0.13235172343283047,-0.0125027494057397,0.008898506946220797,-0.048327593443256045,0.02228248098768909,0.1526180756423201,-0.025812751186632954,0.4397264107173131,0.19003275306995515,0.03753240025721288,-0.03314827218066191,0.13673183789668125,0.05111922813492159,0.023078347593951998,0.019071996968242688,0.0746233825532604,-0.0031562151697601126,-0.11692250615561406,0.4017029801613201,0.028625265780654663,-0.080969169866626,-0.14428564662662852,-0.019334998128650027,-0.14392057692103077,0.03994095985675172,0.06861671442465461,-0.00590196337515092,0.06245614917503867,0.02816032496013987,-0.017554215548836627,0.05911852021586511,-0.007855046084314199,0.1194433310760234,0.09119083231311137,-0.024181335560807315,-0.007837612237649616
Scientific articles per million people,0.5573031439680308,0.18749801096205965,0.0552355548971797,0.32848538536593175,0.3728292483308192,0.5663009218867228,0.03199521602548133,0.2368809156104667,0.1437070330207874,0.006054289873900431,0.016525093370119127,0.01795610122668433,0.024908965112724182,0.022163456649027073,0.03321838350304758,0.08961669755111515,0.0009291934696262476,0.021068676325267658,0.024798526798346224,0.03943384045852863,0.07908639090392905,0.07373960918564074,0.03517826610079301,0.0021263496645824147,0.03212744781004111,0.12928595998017836,0.04519650697722845,0.028177149763223067,0.022996923523825718,0.016882384709121002,0.0784086586154131,0.03915924237716459,0.04324149642307401,0.1440425325008123,0.11362528004016244,0.008640648887097528,0.00727519579528676,0.0005001026616189,0.0676530421771599,0.004010784149651948,0.0028338146981437677,0.02244577817404227,0.01616344465582809,0.004996017482317716,0.006424753756292446
HIV prevalence,,0.11945392491467588,0.05460750853242313,0.2559726962457338,,-0.12627986348122866,0.013651877133105783,0.030716723549488067,-0.0068259385665528916,0.0,0.058020477815699634,0.0,,0.15017064846416384,0.03754266211604085,-0.030716723549487984,,0.08532423208191131,0.0068259385665528916,0.06484641638225253,0.16040955631399312,0.020477815699658786,0.08532423208191131,-0.010238907849829282,0.04095563139931746,0.09215017064846409,0.4436860068259385,0.0068259385665528916,0.061433447098976135,-0.1023890784982936,0.08191126279863481,0.2525597269624575,0.09215017064846409,0.061433447098976135,0.027303754266211566,0.027303754266211566,-0.010238907849829282,0.017064846416382284,0.0887372013651877,0.15358361774744034,0.04436860068259385,0.058020477815699634,0.05119453924914674,0.07508532423208192,0.04095563139931746
Government health expenditure,-0.005580463606311481,0.11833669692919513,0.0589342364363111,0.19894279764957246,0.26863360559389393,0.4649647135062088,-0.03230759674385422,0.18918553510082103,0.2836238279451409,0.046619560144360715,0.098834403253415,0.06177958933544411,-0.050916196644136935,0.1624532215787398,0.11354556904131702,0.19033298501299872,0.11311143777959376,-0.07281128211903826,0.10162878989038204,-0.021669568072980705,0.17595783896600378,-0.1303577424090494,0.13504173783943596,-0.04361996411510788,0.2645022135865839,-0.04382809527434822,-0.4986920376252505,0.07429337584995976,0.035022799436256254,0.14629860667595512,0.29143608692380296,0.07892773432440152,0.11699113828533814,-0.15581379865210387,-0.047618157834566646,0.04531179951088388,-0.16323332433314827,0.1468164706959525,-0.03050044252964998,-0.038021771413380395,-0.10319085853314472,-0.13606671864915643,0.08706810036372645,0.08000441221396151,0.08148741871510498
Internet users,0.8464292034187412,0.6414828170455945,0.7463167522415668,0.8351606998798207,0.6966678647184898,0.7610221776395224,0.6240557345823192,0.7585603164228999,0.7496569687390103,0.2675905891831569,0.2556518354219315,0.33534283129678455,0.6123177220768465,0.39430670751424973,0.3694530347789716,0.5845984388042763,0.6493458945083839,0.6772444375819592,0.40243525893871035,0.20915972364101348,0.24519336948758308,0.30876161043321737,0.3578416663729518,0.43530261664739184,0.13757633005896427,0.46315933908810464,0.40253444847472786,0.2050956142797493,0.32647375191189926,0.1796320722868131,0.26838985012465827,0.1919277486807746,0.4967855344535396,0.18477087099305795,0.39280895661044857,0.3745181621873893,0.14997524386245026,0.1926212769482606,0.10826181865251899,0.06093859624573101,0.1450842803704444,0.20213400149094873,0.22782638474482125,0.12064547252738689,0.31504459991805434
Mobile cellular subscriptions,0.6125274167109183,0.5655733267148432,0.69756770484612,0.8879949437813128,0.7609118509454436,0.8106711610832774,0.6485917622884585,0.7110689054094613,0.6198255142797774,0.5769868342068201,0.627005748851384,0.6020767437028144,0.4921028328677302,0.8446445639877173,0.5268504836885,0.654504479024773,0.2564724216747858,0.24965629833999028,0.6069910304065753,0.49196211876341966,0.6949438967515525,0.5381724886292798,0.5893679149447048,0.2536136033061667,0.6440234456167894,0.45068668759956587,0.5058006833975942,0.5833345531364718,0.39624114007341904,0.24438467088403015,0.4666834899452819,0.341001437212846,0.44841052339944126,0.3045813306628495,0.5142013540969224,0.6262066238773578,0.3062113626393923,0.3549076801422205,0.3721536259321681,0.20511365525361897,0.3335165943250294,0.310289635906079,0.18102863112691336,0.34168217394315786,0.2712844411608523
Access to electricity,0.048948960510966644,0.16782500746617174,0.12761693276073482,0.4274293158904064,0.0034963543222118476,0.16695091888561875,0.25435977694091666,0.3627467609294859,0.30767918035464836,0.2657229284881053,0.33527277670284483,0.4012066584738169,0.236003916749304,0.18705495623833734,0.1695731846272776,0.4894896051096678,0.016607683030506526,0.08129023799142698,0.2954419402269066,0.2884492315824828,0.520082705429022,0.1756918046911486,0.23163347384653915,0.24649297971593986,0.08303841515253291,0.1678250074661718,0.12936510992184075,0.16607683030506587,0.31554597757962505,0.22551485378266842,0.38459897544331034,0.0786679722497681,0.4291774930515122,0.38459897544331034,0.1363578185662645,0.37236173531556865,0.17743998185225462,0.08915703521640392,0.31991642048239,0.08740885805529777,0.0690529978636853,0.1940476648827611,0.3863898164518094,0.06468255496092032,0.119750135535758
Mineral depletion,0.0,-0.08921590294031134,-0.0008150435997580363,0.010567898174413837,0.0,-0.09353114031764476,-0.10064607661664537,-0.10214510920182573,0.0,0.031917226460828174,0.0,0.0,0.0,-0.08330692937147866,3.1357486726224515e-05,0.0,0.0052548172048221264,0.0,0.0,-0.1169907337464342,0.0005465652318763503,2.70591440922896e-05,-0.9274226360791789,0.0,-0.556636485159978,0.0006020874252601338,-0.11148747218732646,-0.007362104636600364,-0.16648340328056843,-0.004877613742337972,3.1783825899855955e-05,-2.0781265560376738e-05,0.0,-0.0051671555866293906,-0.00029702318991819965,-0.5014117399372631,0.0,-0.027807951194961378,0.0,-0.02445741288198089,0.0,-0.6478611881640742,-0.19737718020336759,0.002964668351692401,-0.9995929591059427
Net forest depletion,-0.000511298943118188,-0.01050637711806135,0.027027280498341133,9.15555742538876e-05,0.00019453278564562915,0.0,0.0,0.12153036288893326,0.0003186070342718894,0.05196005625733113,0.02285944080615443,-0.007406570851272498,0.026343438124530993,0.0,0.07873223876307966,-0.007276824680467087,0.13390642689905108,0.0026519865493760397,-0.006831572802885599,0.0,0.04052824064105143,0.03632287607286844,0.1373930638529377,0.020730712499359316,0.0,-0.009121482132550596,0.03202612997349774,0.0003868017399617507,0.05941431859598012,0.11188587831239571,0.025473582280979512,0.12189472296964299,-0.027398677212475353,0.2649634475690179,0.0,0.014626156787261757,-0.0577048043874272,0.0,0.08957601708718577,0.0,0.07091338673741143,0.1794431219643522,0.06991281760051071,0.10737054344610941,0.15894064749366332
Renewable freshwater per capita,,-0.008996510840343381,-0.44950634682436474,-0.0032158445115599635,-0.0010169118641323513,-0.0017060800870597522,-0.008218453597123159,-0.004562228659423036,-0.0005683531687032217,-0.07978527132656518,-0.03928643587166904,-0.005805718982249779,-0.04054535527509785,-0.01306615342371822,-0.2411135538674184,-0.00258828549543735,-0.1590195571545537,-0.0009704275967049479,-0.006731958784749059,-0.008390515282117981,-0.0021241849149750904,-0.004920406158114338,-0.02939012913960746,-0.03638633167258251,-0.0035844463439613484,-0.061471631190907955,-0.001982441213978613,-0.11455308802163944,-0.007065700468049116,-0.017966076495934617,-0.003477816454938821,-0.004693641275995444,-0.0024087481185587414,-0.006050491209423651,-0.005520086529300163,-0.01884235478549289,-0.06743279127994788,-0.001205266857457441,-0.005808440080564858,-0.0670929545007233,-0.006894280109629617,-0.0029999535508136756,-0.22624080367169802,-0.005919391870096434,-0.06544550974825987
Energy intensity,0.021364009860312283,0.018488085456039416,-0.13516844700082165,0.04560394412489721,0.032456861133935866,0.08545603944124902,0.02095316351684473,0.07271980279375512,0.02958093672966311,0.15488907148726383,0.13352506162695155,-0.06368118323746919,0.028348397699260452,0.02793755135579301,-0.1873459326211997,0.0829909613804437,-0.17584223500410845,0.06737880032867705,-0.00041084634346755244,0.23788003286770754,0.03327855382087108,0.005751848808545512,0.19350862777321287,0.0262941659819228,-0.010271158586688589,0.060394412489728766,-0.0928512736236648,0.2678718159408382,0.07764995891536564,0.5460147904683648,0.14790468364831555,0.09778142974527526,0.11585866885784724,0.5509449465899754,0.1635168447000822,-0.08504519309778136,-0.08915365653245688,0.016844700082169206,0.1372226787181594,-0.058340180772391115,0.10517666392769098,0.03410024650780619,-0.13229252259654894,0.14256368118323737,0.21035332785538208
Water productivity,0.0892870319224416,0.11108227355197128,0.040671414670594916,0.03558777756668535,0.012736646227516621,-0.0008619451719183782,0.002939269029476596,0.032715231230628805,-0.04385617759166755,0.007054688115490549,0.005734612355673028,0.060763008033998284,0.0002218068977522386,0.04476316060748002,0.09258850224079973,0.0025102487192508382,0.31656032923364785,,0.008578798718720412,0.010829140010836218,0.0019183100327011815,0.09333170584157038,0.013784414885051603,0.10848926347614465,0.01585667550683071,0.023168987482709985,-0.0010898308435608444,0.03198379622923853,0.016092758388342687,0.008089712877242455,0.0028744779433266116,0.00647468498138427,0.01966612853507172,0.009916409625003704,0.027133095126794037,0.002588066442344443,0.0004516820312699692,-0.0008069980896419212,0.03821798774739523,0.002593847963761775,0.014769432733543504,-0.002368260119232793,0.007125725317770778,0.008101642872078024,0.05597305667309019
Energy depletion,0.0,0.0,0.1214226973591227,-0.0020951139770749583,0.0,0.0049841285483520625,-1.310379622643243e-05,-0.02377660533358472,0.002266760705453841,0.0,0.0,0.0,0.0,-0.0023657369023879493,0.2721711539093401,3.919674396168915e-08,0.6479586476419059,0.0,0.0,-0.0024195230571965043,0.0,0.0,-0.00018162536124799455,0.1346418632871308,0.0,0.007774584124488615,0.004296411887262375,0.0,0.0,-0.006987086074889071,-1.3603925805738548e-05,0.0007844004747198374,0.0,-5.7287548926865384e-08,0.06531934376491122,0.0,-0.0005445189179101861,-0.002389068045261178,0.0,0.0,-0.11103941832968911,0.0,0.0,0.0,0.009298619180001522
Energy consumption per capita,0.362296909755343,-0.006239556320076001,0.027845561956752585,-0.015945636390474194,-0.06368948326558233,0.05093552608321478,-0.008338395428976186,-0.03154581814510726,-0.0450898029392236,-0.01190208691462813,0.0012002306751440761,-0.02048763734000858,-0.02088651065737457,-0.007823498489026637,-0.04411022302405787,0.018912264053513983,-0.31464355651344644,0.02461538791418061,0.00234188803653379,-0.011293309010004804,-0.006740437947609035,-0.014119235051748169,-0.012379714556591814,-0.009857402695304107,-0.012013525506795908,-0.0043313559313182814,0.031588771212455735,-0.00547958917339697,-0.009838485831908939,-0.016511067622856812,-0.0029734732122621566,0.00018245476557410267,-0.014306238934241988,-0.0070498164835505195,-0.009142618051443896,-0.018722375790766077,-0.0006556948746342384,-0.0033614044687259037,-0.006415088557875759,-0.0001249342150535515,-0.006303267917770139,0.007855840808010828,0.002886524695288162,-0.0017170380938641427,-0.0024811235735247017
Solar/tide/wave/fuel-cell capacity per capita,0.9999999999999999,0.3944750712774372,0.004363904080433387,0.01933979629654533,0.6415718822628357,0.7607954624762716,0.10223499564235497,0.03759038578495078,0.2437692240567146,0.008105188150552634,0.007196688978935096,0.0,0.01114795843319913,0.0018961011456062322,0.0009052776874494047,0.06710963970099745,0.0,0.00239184171429308,0.007704610986952603,0.002240315791240669,0.030275418835479604,0.003322721548797877,0.03643969243836866,0.0003091451232609334,0.020711858942516106,0.007156361650414462,0.01547601332844947,0.01372844365981154,0.05340376060658717,0.01073722878349541,0.01396782950133982,0.02439015176163396,0.001867221093047451,0.00128493340396707,0.002474792322315597,0.029457813487470043,0.006027822906875739,0.0040279345905504145,0.014359512220659386,0.0004883780167235443,0.0008310865743462484,0.05528369022707011,0.003638480981005339,0.005142560658054931,0.001488947644353882
Biomass and waste electricity per capita,0.0,0.0,-0.0014951978554280185,0.0,-0.22559887100844955,0.0002732063834244101,0.00010041043217238858,-0.00016510460586569302,0.0,0.0,0.0,0.0,0.0,0.00541772525078585,0.011286301230993,-0.6382875171694243,0.0,0.0,0.0,0.0003824875803972341,0.00983572187855428,0.0,0.008191346937011458,0.003321514439035198,0.008343619502704416,0.003331673415424792,0.01452154672102957,0.001288175654682817,-0.00016027697260290202,0.007530779977942639,6.065369081085766e-05,-0.006794830976324341,0.0,-0.0011073516753964902,0.00037336501640408367,-0.0027695494516272135,0.0007764675395157724,0.0,0.014058034086705345,0.0,0.001169745295100537,0.0,0.0003965251508899291,0.0009329104186481605,0.0001636199719147443
Forest area share,0.0,-0.018607023505166145,-0.007376982470763793,-0.04503223325424999,-0.011289663833804725,-0.006473263734215778,-0.044064136473960014,-0.03625857505012475,0.016059467917068596,-0.03266008992526381,-0.06477527648502923,-0.0507857444124559,-0.07925910600635067,-0.07658276512063103,-0.007959664748725448,0.015223543041395504,-0.06428242303966503,0.0001271777584550883,-0.12221665318753902,-0.0976860323243538,-0.007364459659645023,-0.09565989073914355,-0.034713596598877516,-0.09604932379275799,-0.039428683902303,-0.028370646646391495,-0.02569156463516281,-0.05896216467232973,-0.011739456164143097,-0.061297718526639566,-0.0034104399001591013,-0.09610470720662279,0.0,-0.03662396604605539,-0.03868152438584549,0.0,-0.010623627493329874,-0.0021152551793196537,-0.04497896984057241,-0.010388721246886334,-0.017726691582934793,-0.025459844548153684,-0.06777466707445035,0.03599736819181398,-0.08646225881691172
Wetland area share,-0.009290593301734429,-0.0012806862242195176,0.0010520160204615034,-0.0010998989314873059,-0.006465018818098762,0.00017111541510773064,0.0018867823097586112,-0.0012822729767711632,0.0012119597075640615,0.0005963125860511606,-0.0633973019858236,-0.0065612541932874476,0.0012719264639279165,0.0003359805753771841,-6.435985152760185e-05,-0.002058746090450758,0.00010882793274248626,0.00021070740386031073,0.03752434437453722,0.007155641751275421,-0.00349172809401134,0.0007363547318660346,0.005128837848599382,0.0023359291183198405,-2.0083049430441244e-05,0.0025947073844322377,-7.733155081190166e-05,0.004212265197247489,0.001324543388800825,0.0010993450736317967,-0.0049742790936263825,0.011377724889883811,-4.0219018622227e-05,-0.0004972941160534712,-0.000982717057145921,0.00040578560214217,0.00452563615603406,0.0008535874701632896,-0.0018578922340816983,0.000719325069458219,9.018233378293994e-05,-0.0026638702879686702,-0.00042467976619519135,-0.001640428523570582,0.0012579170667799955
