Alpha-3 code,CountryName_CN,Numeric,Year,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,SDI_Economy_Equal,SDI_Society_Equal,SDI_Resource_Equal,SDI_Ecology_Equal,SDI_Equal,SDI_Average,GDP per capita growth (annual %)_x,Merchandise exports (% of GDP),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x","Industry (including construction), value added per worker (constant 2015 US$)_x","Services, value added per worker (constant 2015 US$)_x","Current account balance, percent of GDP (Percent of GDP)(IMF)",Proportion of seats held by women in national parliaments (%)_x,Prevalence of undernourishment (percent) (3-year average),"Life expectancy at birth, total (years)_pct_change",Population growth (annual %),Scientific and technical journal articles per million people,"Prevalence of HIV, total (% of population ages 15-49)_x",Domestic general government health expenditure (% of GDP),Individuals using the Internet (% of population)_x,Mobile cellular subscriptions (per 100 people),Access to electricity (% of population)_x,Adjusted savings: mineral depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Renewable internal freshwater resources per capita (cubic meters)_x,Energy intensity level of primary energy (MJ/$2021 PPP GDP),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)_x",Adjusted savings: energy depletion (% of GNI),Energy consumption per capita (million Btu per person),"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)_per_capita",Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,Forest area (% of land area)_x,Wetland area(% of land area),Grassland area(% of land area),"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land|Climate neutral(% of land area)",CO2 emissions (metric tons per capita)_x,PM2.5 exposure/Ambient particulate matter pollution,Terrestrial biome protection (global weights),Species Protection Index,Region
COG,刚果（布）,178,2007,0.3290573142434439,0.3195042680025964,0.5615912943164265,0.5796343316718437,0.46615689671330013,0.32725026664948537,0.3329946941360346,0.5591189758646617,0.5814397570216875,0.45020092341796736,0.35503768419070225,0.29115088252851873,0.5516145006820007,0.581226317772563,0.44475734629344615,0.4415033430276063,-9.969451338,0.7165219735746384,6.740117132,1022.658005,13570.83861,6637.042776,-24.00022549,7.299270073,32.6,0.0096849043279416,3.659245438,11.652007446431666,3.5,0.58651859,2.7597,32.349,35.8,0.00595658,3.970148295,55772.86876,3.07,173.4170413,34.60761717,8.47369846982725,0.0,0.0,64.74670571,0.4745827232796485,6.019970717423133,0.0003513909224011,0.4913379843383755,20.8261226672648,22.3853724408977,63.62,C
COG,刚果（布）,178,2008,0.4103096283828625,0.33984618822174745,0.557006966316765,0.5635651942575882,0.4760495236934825,0.40674374251516243,0.35167266399326513,0.5545764066465771,0.5639024854866004,0.46922382466040125,0.4302859499940257,0.3088276345180978,0.5468473896813791,0.5645628034560688,0.46263094441239283,0.4570119685270624,2.866984152,0.7871340798654236,16.26920343,1078.971087,14280.99921,6311.450302,7.46170443,7.299270073,34.9,0.012323064113239,3.288852669,11.83172453158696,3.5,1.09928632,4.28751,43.9283,36.8,0.005419051,4.042895971,53968.41681,3.09,184.3533719,37.7043227,9.346610327755656,0.0,0.0,64.71156662,0.4747584187408492,5.930102489019035,0.0004099560761346,0.5167964940949558,25.4828737820104,22.3853724408977,63.74,C
COG,刚果（布）,178,2009,0.38025103633698565,0.3435003739767383,0.5722552612717431,0.58564909446586,0.48439880398070984,0.37738725535749235,0.3534591519569478,0.5689651130639386,0.5859690907311902,0.4714451527773922,0.40843742610074607,0.30373305785902416,0.5651845561258647,0.5831940542067516,0.46513727357309664,0.4602531176494783,7.264282805,0.843540780568425,11.97152744,1071.635555,15613.39178,5777.281247,-14.10305361,7.299270073,37.7,0.0069912814607666,3.995940177,9.436564679358844,3.4,0.61770952,4.5,68.866,37.1,0.007529985,3.48031608,51854.39007,3.16,205.8071063,24.42597937,11.091806450079488,0.0,0.0,64.67642753,0.4719180087847731,5.904480234260616,0.0004978038067349,0.6399422101508939,23.6730720776041,22.9111100840805,72.23,C
COG,刚果（布）,178,2010,0.36645558634239245,0.35756658322310114,0.5662224623004657,0.5752834498008645,0.48169028092628113,0.36546214361741636,0.3659147789194202,0.5630343335919813,0.5744158717097774,0.4672067819596488,0.3997005391808947,0.31257003069616607,0.5576019969197397,0.5712223819701022,0.4602737371917257,0.4562294443901882,5.470469704,0.5261478197383668,29.4176838,1087.555196,16359.12747,5709.865158,6.854135669,7.299270073,40.4,0.008429306542514,4.142430505,9.268783516983431,3.4,0.8283878,5.0,83.3372,40.0,0.011159349,2.683315829,49750.24035,3.13,226.2463564,32.37472248,14.596803928886963,0.0,5.944724594990465e-06,64.64128843,0.4685505124450951,5.892679355783309,0.0004978038067349,0.96910705288092,26.2312924589483,22.9111100840805,72.23,C
COG,刚果（布）,178,2011,0.43249442475758654,0.3634839672186977,0.5512654498049929,0.5814281439258467,0.4912428775358206,0.4274242327636015,0.3718903796549777,0.5484313458877723,0.5811187227674913,0.48221617026846064,0.44501034405393736,0.32177662159308035,0.5426715361105605,0.5775371531219369,0.47174891371987876,0.4657994021846737,-1.062959103,0.8830189264930841,10.95332551,1120.26644,15699.92312,6078.956615,13.24234729,7.299270073,40.5,0.0089906205958107,3.250589819,9.981074788859376,3.4,0.65133953,5.6,84.2731,40.8,0.016705026,2.67642312,48159.06549,4.08,231.2371685,39.13439825,16.59485987573443,2.1693272742576346e-07,5.81540123815005e-06,64.60614934,0.4661493411420205,5.856983894582724,0.0004978038067349,0.9623206170260952,24.4421464114084,22.9111100840805,72.34,C
COG,刚果（布）,178,2012,0.37460356733933536,0.3817066106024627,0.5639340155518223,0.592515591579929,0.49567521784290813,0.374807281557531,0.3898609905784417,0.560468057412615,0.5919364213669115,0.4792681877288748,0.41135316247361325,0.3396639111574481,0.5580239848507299,0.5866783193334177,0.4739298444538022,0.4703456960945201,6.915172731,0.4203943531713505,11.36409024,1308.725514,16094.71154,6922.870869,13.68490864,7.352941176,37.4,0.0060366695565616,2.796408254,11.484141800883885,3.3,0.81893653,6.1067,90.3529,41.6,0.01324136,2.702485209,46830.99706,4.25,254.2386838,28.35016221,16.359428332784812,2.109504371947811e-07,5.663556705129261e-06,64.57101025,0.4680527086383602,5.85792093704246,0.0004978038067349,0.9223045065341898,24.6460561937193,23.0863146603076,78.94,C
COG,刚果（布）,178,2013,0.38667254172792925,0.399454501597696,0.5700767505209595,0.5808161586283358,0.49952339914488886,0.3849716691581799,0.40759786989025737,0.5659758328768092,0.5789780753810542,0.48438086182657514,0.4119181347896202,0.35691920584844367,0.5666041559079761,0.5736071734494721,0.477262167498878,0.47473275861115705,-3.096943237,0.5820570504547162,1.104562189,1334.737471,15592.34939,7106.333714,10.78558048,7.352941176,32.7,0.0048993010117774,2.43092782,10.574213125983226,3.3,0.93664998,6.6,95.9371,42.5,0.00851108,2.606180655,45706.29505,4.51,252.4273998,18.08881868,20.508182234599825,4.117684239090042e-07,5.570203547971742e-06,64.53587116,0.4678477306002927,5.825007320644217,0.0004978038067349,1.1787910705546665,27.7149339863735,23.0863146603076,79.0,C
COG,刚果（布）,178,2014,0.3660372954805616,0.4093994415964287,0.5787874850917528,0.5889678702610625,0.5045274279771081,0.3660435512317958,0.41749760958305826,0.5744101117906026,0.5879537986804074,0.486476267821466,0.40115333837320005,0.36637747468509785,0.5759889704056388,0.5823123746447916,0.481458039527182,0.4798308190080136,4.100279278,0.4840027120585534,6.464563313,1338.278454,16126.05285,7322.809434,3.79355486,7.352941176,29.6,0.006034715494926,2.416089328,14.18040627989421,3.3,0.94694966,7.11,99.08,43.4,0.006711449,2.301263951,44615.22384,4.18,269.2038899,14.35770697,19.01824447771488,1.0048473837793516e-06,5.347205061040459e-06,64.50073206,0.4688140556368961,5.7428404099560755,0.0004685212298682,1.099922625947571,25.3554231407006,23.0863146603076,79.0,C
COG,刚果（布）,178,2015,0.31238738431821444,0.41756197556856633,0.5820154781830343,0.5956969351927377,0.5029898660645234,0.3119563216584723,0.4252636613734331,0.5774079985130371,0.5939830752390363,0.47715276419599467,0.34692549998556654,0.3731605809715954,0.58134706225916,0.5868595855691355,0.4720731821963643,0.47314954572060125,-1.982145875,0.6934574141099431,11.97152744,1308.596526,15967.88874,7140.515055,-37.23882746,7.352941176,29.4,0.0049408830447206,2.416387409,15.32295416198389,3.2,1.11883152,7.61597,102.323,44.3,0.007781041,3.088097771,43550.06816,4.58,270.3216058,6.901572741,18.596856706592114,9.808573909860385e-07,5.2446773593259235e-06,64.46559297,0.4688140556368961,5.7428404099560755,0.0004685212298682,1.053994797924741,26.3162845396892,24.3747186993683,80.64,C
COG,刚果（布）,178,2016,0.31415029931794847,0.420031389386353,0.5733787694124578,0.598671876564472,0.5032252733539365,0.312827982259253,0.42754919017573345,0.5691752645466849,0.597294445972087,0.4767117207384396,0.3424021535694401,0.3748797393980491,0.5731278211992845,0.590189061454114,0.4701496939052219,0.4713316279821484,-10.87005086,0.7227849983880701,3.502487289,1264.285649,13575.15718,6798.002939,-32.89638838,7.352941176,29.6,0.0039112814551851,2.421699419,14.671033383015455,3.2,1.11958003,8.12195,103.858,45.3,0.012033874,3.946387379,42508.0842,5.02,246.8435163,7.345437525,17.280030980849762,9.573892836736789e-07,5.201183980600613e-06,64.43045388,0.4725329428989751,5.689633967789165,0.0004685212298682,0.9882487228426956,25.4859525631606,24.3747186993683,80.64,C
COG,刚果（布）,178,2017,0.3696704024979646,0.41609340955056134,0.5580719294047916,0.6086543836188515,0.5098107638413407,0.36687070669251726,0.42516534001802087,0.5548225898481358,0.6082545840586552,0.4887783051543323,0.39143166980903377,0.37190746169329203,0.556366826861438,0.601309877395597,0.48025395893984024,0.4787316696033493,-7.86139426,0.697284954962159,12.36567685,1331.877076,14709.12991,5788.633958,0.1552822777537699,11.25827815,30.2,0.0045688535619845,2.430240734,12.472409419453632,3.2,0.90735477,8.65,94.4868,46.2,0.010051853,5.045872001,41487.48713,5.32,233.0331801,17.29211712,12.262263696776674,1.1212834359712585e-06,5.099445374728252e-06,64.39531479,0.472913616398243,5.6761054172767205,0.0004685212298682,0.6964614212155423,23.2992665832396,24.5167406588454,80.92,C
COG,刚果（布）,178,2018,0.3782763339404381,0.4183100971675134,0.547441371750379,0.6093318412895944,0.5096194679996805,0.3749565381722303,0.42702796486241146,0.5447512264101468,0.6081745073945118,0.48872755920982514,0.3986890401897824,0.3747438559774797,0.5443080619273877,0.6006175952926193,0.4795896383468172,0.47770515178796236,-4.658139749,0.7550477383623284,22.23444129,1284.465563,14117.19459,5517.436646,0.0002442806224394,11.25827815,29.7,0.0041898353659484,2.438840224,11.347558086475615,3.2,0.62025368,15.920947460205753,91.189,47.0,0.0,4.10468022,40487.91217,5.62,227.6633551,26.38575694,11.496715172456694,1.2766458792241932e-06,5.000575332113955e-06,64.35139092,0.4730893118594436,5.6597071742313325,0.0012591508052708,0.6215371232207659,25.0037215390796,25.4896405734596,81.42,C
COG,刚果（布）,178,2019,0.35007084151514006,0.4288131733802224,0.5458555796346836,0.6076080657346555,0.508039261380613,0.3501439648313731,0.4371038723542651,0.5432079564609342,0.6062883998206103,0.4841860483667957,0.38765778069954954,0.38406839887562666,0.5431776397354368,0.5987501486654352,0.478413491994012,0.47743789413516247,-1.279884403,0.3989514565498026,1.317366502,1262.746958,13979.06342,5399.356757,11.67930506,11.25827815,29.0,-0.0204740042188855,2.406344197,13.668263048099218,3.2,1.02925241,17.088387150367453,91.0654,47.7,0.0,3.391345439,39525.26243,6.01,230.2233701,26.65720705,11.776887829487666,1.2462920585735902e-06,4.881680524046226e-06,64.30746706,0.4730600292825768,5.634641288433382,0.0012591508052708,0.6466386472318696,25.4376235991883,25.4896405734596,81.42,C
COG,刚果（布）,178,2020,0.34597961177451847,0.4583985365382661,0.5477479102386948,0.6020416139975694,0.5145906992006292,0.34520849052413766,0.4648920975295069,0.5448444606582379,0.6001821181054992,0.4887817917043454,0.3772273544984928,0.4112680407357652,0.5477255296708932,0.5927986504958824,0.4822548938502584,0.4830938488191824,-8.48578579,0.4266399285322786,11.97152744,1325.831868,14393.90814,5095.789085,12.56142809,11.25827815,27.7,0.0196193311375729,2.394776912,13.162306782916326,3.2,1.73444974,24.8206,97.6561,48.7,0.0,4.201208344,38589.96442,6.61,215.7934935,16.79362678,12.703463759928391,1.2168006798786884e-06,4.7661638696538776e-06,64.26354319,0.473147877013177,5.625680819912152,0.0012591508052708,0.704695187431631,26.966639258503,25.4896405734596,81.42,C
COG,刚果（布）,178,2021,0.36289468543480724,0.4686748231302825,0.543619380445422,0.6039155249565044,0.5196669089517315,0.3616886602143798,0.47425978596755924,0.5409486657595876,0.6022328218222648,0.4947824834409479,0.3933144354403128,0.4209530214352224,0.5427702503681219,0.5947424050517572,0.48794502807385354,0.48840008106357546,-1.374653895,0.506688045756307,23.29071801,1294.361295,13438.74296,5284.748653,11.57387518,11.25827815,27.2,-0.0030904940131386,2.394142883,15.050449044097917,3.2,1.72020531,33.3461,95.8615,49.7,0.0,3.108459923,37677.03753,6.72,217.9839493,21.87485212,12.631745545784788,1.2219579738103857e-06,4.653410223998474e-06,64.21961933,0.4731185944363103,5.637862371888726,0.0012591508052708,0.7018966338961298,26.4111186123068,25.4896405734596,81.42,C
COD,刚果（金）,180,2001,0.23336973323107016,0.2706981726567645,0.4274315336504492,0.4313357751691914,0.3570792550852858,0.235779098938051,0.2889914058186168,0.4285566208787115,0.4354601353943586,0.34719681525743445,0.28479825262159997,0.25544999097983584,0.44545052888010633,0.4622515614902015,0.3619875834929359,0.36044573323506257,-5.152141467,0.1183083662124158,73.05971136,264.2750803,3250.324348,1421.894466,-2.7146230851470534,8.960530194645543,26.8,0.0061287027579162,3.167066345,0.1735956390934003,2.0,0.10641284,0.0114758,0.287728,7.1,0.009223694,17.4709463,17263.65472,17.63,27.79549727,1.26488412,0.587804166549307,0.0,0.0,63.17725679,2.269588231402042,3.216228137888445,0.0121523565867537,0.0268621144033241,30.8153186356126,8.37282124385861,38.25,C
